,0,1
0,38.8926288,-76.9785782
1,,
2,,
3,,
4,41.4488207,-81.5601808614068
5,,
6,33.87198595,-118.183975318064
7,,
8,,
9,,
10,26.4554176,-80.0858175
11,,
12,41.2504997,-111.9516076
13,,
14,31.7326101,-106.3730396
15,,
16,,
17,,
18,41.53082215,-90.5763792039542
19,,
20,,
21,,
22,36.1631124,-86.8124993
23,,
24,,
25,41.717784,-87.6212181732371
26,,
27,44.24942475,-88.4338026109725
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,42.7686963,-78.6186641
37,,
38,40.1589607,-79.8889366
39,,
40,,
41,,
42,44.9401715,-93.2711342247632
43,,
44,,
45,,
46,39.315399,-76.654035
47,,
48,,
49,,
50,36.07434285,-95.863392355726
51,,
52,,
53,,
54,39.30451035,-76.6517081259784
55,,
56,,
57,41.1683377,-81.3972756861798
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,43.4048385,-83.9244653225834
70,,
71,,
72,,
73,,
74,42.6375326,-83.3016026
75,,
76,25.8378746,-80.2164373
77,,
78,,
79,,
80,,
81,,
82,37.5405834,-77.4006044
83,,
84,33.9347375,-118.2697954
85,,
86,,
87,34.0695936,-118.186453542739
88,,
89,,
90,38.66237815,-90.2221340328213
91,,
92,38.6594851,-90.2388751716051
93,,
94,41.025552,-81.6072638230393
95,,
96,44.9401715,-93.2711342247632
97,,
98,,
99,,
100,,
101,,
102,39.12870635,-84.5218746847992
103,,
104,41.75481455,-87.6714478970198
105,,
106,33.9347375,-118.2697954
107,,
108,,
109,,
110,,
111,,
112,,
113,37.6961919,-122.4663752
114,,
115,,
116,,
117,39.31429825,-76.6539517356852
118,,
119,,
120,34.7289811,-92.2618161
121,,
122,,
123,,
124,42.0825,-78.4347222
125,,
126,,
127,39.7267804,-75.4729737
128,,
129,29.6750929,-95.3423372022811
130,,
131,38.6594851,-90.2388751716051
132,,
133,,
134,,
135,,
136,,
137,41.8841564,-87.6847609
138,,
139,38.659426,-90.2143713245586
140,,
141,,
142,32.8276549,-104.4035603
143,,
144,,
145,,
146,33.50408535,-112.023762875472
147,,
148,39.940076,-82.9963455
149,,
150,30.4259269,-87.298135115483
151,,
152,,
153,32.68318435,-97.2943219921072
154,,
155,38.6164411,-90.3448383
156,,
157,26.82553565,-80.1027799408178
158,,
159,,
160,,
161,42.40697205,-83.2445648340578
162,,
163,,
164,,
165,41.68967925,-87.63866345
166,,
167,35.21826965,-101.828771078039
168,,
169,38.5997841,-90.2370072360117
170,,
171,,
172,,
173,,
174,36.2958856,-86.7733312
175,,
176,,
177,41.9030881,-87.664221
178,,
179,38.824101,-104.821432888188
180,,
181,38.64777955,-90.2200522759993
182,,
183,,
184,,
185,28.5416151,-81.5669932081997
186,,
187,,
188,36.87676115,-87.4915725052466
189,,
190,,
191,42.6929427,-84.5566439
192,,
193,,
194,,
195,,
196,,
197,41.96090125,-87.8140222827515
198,,
199,,
200,,
201,,
202,,
203,,
204,32.8604756,-117.204186241705
205,,
206,40.7658333,-73.9944444
207,,
208,41.32471085,-72.907387988643
209,,
210,,
211,,
212,,
213,43.03318955,-88.0160292237199
214,,
215,,
216,32.89230225,-97.5303558892137
217,,
218,,
219,,
220,38.45589105,-85.6674100736431
221,,
222,,
223,,
224,,
225,39.31778645,-76.5852526896324
226,,
227,38.6438235,-90.2035916203151
228,,
229,33.3640136,-93.4929536
230,,
231,,
232,38.92472,-76.97685
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,40.6690504,-73.9617295256255
241,,
242,33.98050915,-118.044680846548
243,,
