Month,Data
2004-01,2
2004-02,3
2004-03,2
2004-04,3
2004-05,3
2004-06,2
2004-07,1
2004-08,1
2004-09,2
2004-10,3
2004-11,2
2004-12,2
2005-01,2
2005-02,2
2005-03,9
2005-04,5
2005-05,3
2005-06,2
2005-07,1
2005-08,2
2005-09,2
2005-10,2
2005-11,3
2005-12,2
2006-01,2
2006-02,2
2006-03,3
2006-04,3
2006-05,2
2006-06,1
2006-07,1
2006-08,2
2006-09,7
2006-10,14
2006-11,3
2006-12,3
2007-01,3
2007-02,2
2007-03,2
2007-04,12
2007-05,4
2007-06,2
2007-07,1
2007-08,1
2007-09,2
2007-10,6
2007-11,5
2007-12,3
2008-01,2
2008-02,6
2008-03,3
2008-04,3
2008-05,2
2008-06,1
2008-07,1
2008-08,2
2008-09,3
2008-10,3
2008-11,3
2008-12,2
2009-01,2
2009-02,2
2009-03,4
2009-04,4
2009-05,3
2009-06,2
2009-07,1
2009-08,2
2009-09,3
2009-10,3
2009-11,3
2009-12,2
2010-01,2
2010-02,5
2010-03,3
2010-04,3
2010-05,3
2010-06,2
2010-07,1
2010-08,2
2010-09,3
2010-10,3
2010-11,2
2010-12,12
2011-01,7
2011-02,3
2011-03,3
2011-04,3
2011-05,2
2011-06,1
2011-07,1
2011-08,2
2011-09,2
2011-10,3
2011-11,2
2011-12,2
2012-01,2
2012-02,15
2012-03,6
2012-04,4
2012-05,2
2012-06,1
2012-07,3
2012-08,5
2012-09,3
2012-10,2
2012-11,2
2012-12,100
2013-01,24
2013-02,7
2013-03,5
2013-04,6
2013-05,3
2013-06,2
2013-07,2
2013-08,6
2013-09,4
2013-10,11
2013-11,4
2013-12,13
2014-01,7
2014-02,3
2014-03,3
2014-04,4
2014-05,4
2014-06,9
2014-07,2
2014-08,2
2014-09,4
2014-10,12
2014-11,5
2014-12,4
2015-01,3
2015-02,3
2015-03,2
2015-04,3
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,4
2015-10,13
2015-11,4
2015-12,4
2016-01,4
2016-02,5
2016-03,3
2016-04,3
2016-05,3
2016-06,4
2016-07,2
2016-08,2
2016-09,8
2016-10,4
2016-11,3
2016-12,4
2017-01,5
2017-02,3
2017-03,4
2017-04,10
2017-05,3
2017-06,2
2017-07,2
2017-08,2
2017-09,6
2017-10,5
2017-11,7
2017-12,5
2018-01,12
2018-02,95
2018-03,36
2018-04,9
2018-05,54
2018-06,6
2018-07,4
2018-08,6
2018-09,6
2018-10,8
2018-11,6
2018-12,5
2019-01,4
2019-02,6
2019-03,6
2019-04,6
2019-05,21
2019-06,4
