Month,Data
2004-01,26
2004-02,34
2004-03,38
2004-04,36
2004-05,28
2004-06,13
2004-07,9
2004-08,9
2004-09,24
2004-10,37
2004-11,30
2004-12,23
2005-01,18
2005-02,21
2005-03,23
2005-04,26
2005-05,20
2005-06,8
2005-07,6
2005-08,5
2005-09,13
2005-10,19
2005-11,23
2005-12,17
2006-01,14
2006-02,15
2006-03,16
2006-04,17
2006-05,14
2006-06,6
2006-07,5
2006-08,4
2006-09,9
2006-10,14
2006-11,16
2006-12,10
2007-01,9
2007-02,11
2007-03,10
2007-04,30
2007-05,17
2007-06,7
2007-07,5
2007-08,4
2007-09,8
2007-10,12
2007-11,15
2007-12,13
2008-01,12
2008-02,16
2008-03,14
2008-04,17
2008-05,11
2008-06,8
2008-07,6
2008-08,5
2008-09,10
2008-10,19
2008-11,21
2008-12,11
2009-01,9
2009-02,13
2009-03,13
2009-04,16
2009-05,11
2009-06,6
2009-07,5
2009-08,5
2009-09,7
2009-10,10
2009-11,11
2009-12,8
2010-01,7
2010-02,8
2010-03,10
2010-04,10
2010-05,8
2010-06,6
2010-07,4
2010-08,3
2010-09,5
2010-10,7
2010-11,7
2010-12,5
2011-01,11
2011-02,8
2011-03,8
2011-04,8
2011-05,6
2011-06,4
2011-07,4
2011-08,3
2011-09,4
2011-10,6
2011-11,6
2011-12,5
2012-01,5
2012-02,7
2012-03,6
2012-04,7
2012-05,5
2012-06,3
2012-07,16
2012-08,9
2012-09,7
2012-10,10
2012-11,13
2012-12,71
2013-01,100
2013-02,50
2013-03,37
2013-04,65
2013-05,24
2013-06,11
2013-07,8
2013-08,8
2013-09,13
2013-10,12
2013-11,13
2013-12,12
2014-01,11
2014-02,12
2014-03,12
2014-04,12
2014-05,11
2014-06,9
2014-07,6
2014-08,6
2014-09,8
2014-10,11
2014-11,11
2014-12,8
2015-01,8
2015-02,9
2015-03,9
2015-04,10
2015-05,8
2015-06,12
2015-07,9
2015-08,11
2015-09,11
2015-10,36
2015-11,17
2015-12,33
2016-01,43
2016-02,16
2016-03,14
2016-04,12
2016-05,10
2016-06,42
2016-07,14
2016-08,8
2016-09,11
2016-10,14
2016-11,14
2016-12,8
2017-01,8
2017-02,9
2017-03,7
2017-04,7
2017-05,6
2017-06,5
2017-07,3
2017-08,3
2017-09,4
2017-10,31
2017-11,18
2017-12,8
2018-01,7
2018-02,58
2018-03,48
2018-04,21
2018-05,16
2018-06,7
2018-07,6
2018-08,6
2018-09,8
2018-10,10
2018-11,15
2018-12,9
2019-01,9
2019-02,10
2019-03,12
2019-04,9
2019-05,9
2019-06,6
