Date,Killed
2015-8,0
2015-9,0
2015-9,0
2015-9,0
2015-10,0
2015-11,0
2015-11,0
2016-1,0
2016-1,0
2016-1,0
2016-1,0
2016-1,0
2016-2,0
2016-2,2
2016-2,0
2016-2,0
2016-2,0
2016-2,0
2016-3,0
2016-4,1
2016-5,0
2016-5,0
2016-5,1
2016-5,0
2016-5,0
2016-5,0
2016-5,0
2016-6,1
2016-6,1
2016-6,0
2016-7,1
2016-8,0
2016-9,0
2016-9,0
2016-9,1
2016-9,1
2016-9,0
2016-9,2
2016-9,0
2016-10,0
2016-10,0
2016-10,0
2016-10,0
2016-10,0
2016-10,0
2016-11,1
2016-11,1
2016-11,0
2016-11,0
2016-12,0
2016-12,0
2016-12,0
2017-1,0
2017-1,0
2017-1,0
2017-1,0
2017-2,0
2017-2,1
2017-3,0
2017-3,1
2017-4,3
2017-4,1
2017-5,0
2017-5,1
2017-5,1
2017-5,0
2017-6,0
2017-6,0
2017-7,0
2017-7,1
2017-8,0
2017-9,0
2017-9,0
2017-9,1
2017-9,0
2017-9,1
2017-9,0
2017-9,0
2017-11,0
2017-11,0
2017-11,0
2017-11,6
2017-11,1
2017-11,0
2017-11,0
2017-11,0
2017-11,0
2017-11,1
2017-12,3
2017-12,0
2017-12,0
2017-12,0
2017-12,0
2017-12,0
2017-12,2
2017-12,0
2018-1,0
2018-1,0
2018-1,1
2018-1,1
2018-1,0
2018-1,0
2018-1,2
2018-1,0
2018-1,0
2018-1,1
2018-2,0
2018-2,0
2018-2,0
2018-2,0
2018-2,0
2018-2,17
2018-2,0
2018-2,1
2018-2,0
2018-2,0
2018-3,1
2018-3,1
2018-3,0
2018-3,0
2018-3,0
2018-3,0
2018-3,0
2018-3,2
2018-3,0
2018-4,0
2018-4,0
2018-4,0
2018-4,0
2018-4,0
2018-5,0
2018-5,0
2018-5,0
2018-5,0
2018-5,0
2018-5,10
2018-5,1
2018-5,0
2018-5,0
2018-6,1
2018-6,0
2018-6,1
2018-6,0
2018-6,0
2018-6,0
2018-7,1
2018-7,1
2018-7,1
2018-7,0
2018-7,1
2018-8,1
2018-8,0
2018-8,1
2018-8,0
2018-8,0
2018-8,1
2018-8,0
2018-8,0
2018-8,0
2018-9,1
2018-9,1
2018-9,0
2018-9,0
2018-9,0
2018-9,1
2018-9,0
2018-9,0
2018-9,0
2018-9,0
2018-9,0
2018-9,1
2018-9,0
2018-9,0
2018-10,0
2018-10,0
2018-10,0
2018-10,0
2018-10,0
2018-10,1
2018-10,0
2018-10,0
2018-10,1
2018-11,1
2018-11,0
2018-11,0
2018-11,0
2018-11,0
2018-11,0
2018-11,1
2018-11,0
2018-12,0
2018-12,1
2018-12,0
2019-1,1
2019-1,1
2019-1,0
2019-1,0
2019-1,0
2019-1,0
2019-1,0
2019-1,0
2019-1,0
2019-1,0
2019-1,0
2019-2,0
2019-2,0
2019-2,0
2019-2,1
2019-2,0
2019-3,0
2019-3,1
2019-3,0
2019-4,0
2019-4,0
2019-4,0
2019-4,0
2019-4,1
2019-4,1
2019-4,0
2019-4,0
2019-4,0
2019-4,0
2019-5,1
2019-5,0
2019-5,0
